tejribe,aylyk
4.5, 7987
9.9, 10558
6.7, 8054
1.8, 4870
3.2, 6316
5.1, 8647
8.8, 9913
4.2, 7699
7.0, 9237
2.1, 5295
9.6, 10426
5.5, 8828
7.2, 9312
2.3, 5472
9.8, 10512
4.4, 7872
6.9, 9190
1.9, 5043
8.7, 9885
4.1, 7658
9.5, 10399
5.3, 8709
7.5, 9410
2.0, 5221
9.4, 10372
4.9, 8517
6.6, 8027
1.7, 4797
8.5, 9858
4.0, 7625
9.3, 10345
5.8, 8955
7.7, 9468
2.8, 5854
9.0, 10079
4.7, 8281
6.4, 7998
1.6, 4724
8.4, 9831
3.9, 6683
9.2, 10150
5.7, 8891
7.3, 9359
2.6, 5702
8.9, 9996
4.6, 8154
6.5, 8031
1.5, 4651
8.2, 9770
3.7, 6656
